`,holderstaffflag,policyriskcommencementdate,policytechnicalid_m,holdertechnicalid_m,contactcity_m,contactareatype_m,policy_annualized_premium,contactpostcode_m,policybenefitterm,policynumber_m,agentownlifeflag,channeltype_m,contactstate_m,banktechnicalid_m,channeltechnicalid_m,serviceregionnameops_m,edc,requirementnonmedicalflag,underwritingdecisionstatus_m,policytype_m,productplan,um_bdm_code_m,premiumpaymentfrequency_m,servicebranchops_m,policytypesub_m,policy_sum_assured,hniflag,underwritingexpressflag,vedc,productid_m,requirementmedicalflag,nomineerelation_m,holdermaritalstatus,holdereducation,holdercountry_m,beneficiaryrelation_m,lifeassuredrelation_m,lifeassuredgender_m,natureofduties,holdernationalite,holderqualification,gogreenflag,preferredlanguage_m,holder_annual_income,panverified,holderoccupation,premiumpaymentfrequency
1171,No,7/1/21,a2134d7a9e,b8a93c5c68,aa240e,58,150000,299559,12,8e50363caf,N,e62e,f114ce,b06be9,af9d5d6c1e,eca2,0,1,,c4e8,Plan Gold Cover - Series 3,5443359,d4cd,9dc9f7,c4e8,1500000,N,0,0,2a44,1,1b,Married,Graduate,INDIA,a9,a9,9c,LECTURER,2,Graduate,N,HINDI,900000,Y,Service,Yearly
1172,No,11/1/21,40410957d9,a4913eaa70,36a7ec,2483,99900,266795,12,9046f0722b,N,e62e,766048,9a9615,a3e4ecc004,047e,0,1,edce,c4e8,Series 2,9553896,d4cd,a4a2d6,c4e8,999000,N,0,0,efc5,0,fc,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,ENGLISH,700000,N,Service,Yearly
1173,No,4/1/21,e226d60cf8,aaca1dfc1e,380b6f,2483,100000,191559,12,d580dbbc82,N,e62e,b629fd,6e6a82,d71105e141,b629,0,1,edce,c4e8,Series 2,9948014,d4cd,21afb2,c4e8,1000000,N,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,OWNER,,Graduate,N,TELGU,420000,N,Business,Yearly
1174,No,6/1/21,b49b75a665,645d2568f1,7f7eaa,58,1045000,784328,15,92004e7851,N,e62e,b78361,4df3ea,79b3829db4,f7b0,0,1,edce,2ed4,Series 1,5615725,d4cd,811cd7,803,7198000,Y,0,0,671a,1,c7,Married,PG / Professional,INDIA,,a9,aa,DOCTOR,,Post Graduate,N,HINDI,4800000,N,Profession,Yearly
1175,No,18/1/21,931c061fd4,30ad4b496a,96245e,58,225000,265510,10,d1e990790d,N,e62e,766048,b32f79,d307102824,047e,0,1,edce,c4e8,Plan Gold Cover - Series 3,5188309,d4cd,cf21a5,c4e8,2250000,N,0,0,2a44,0,46,Married,Graduate,INDIA,a9,a9,aa,PARTNER,,Graduate,N,ENGLISH,780000,N,Business,Yearly
1176,No,1/2/21,6e8d5b7bb2,3111f510ec,4b1c49,2483,100000,778977,10,13cd04431e,N,e62e,b78361,08946c,f9e58779ce,f7b0,0,1,edce,c4e8,Series 2,5811451,d4cd,c9c5ae,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,PROPORITOR,,Graduate,N,ENGLISH,960000,N,Business,Yearly
1177,No,16/1/21,7c07f0e3a0,03bcb43142,add6a8,2483,14887.16,864972,11,7e2a796d1b,N,331f,aedf2f,7e495a,b0f6a7ce33,c586,0,1,edce,2ed4,Endowment Plan - Series 4,5170133,bf55,07bb1d,803,134000,N,0,0,1bb6,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,AGRICULTURIST,,SSC,N,HINDI,264000,N,Agriculturist,Half yearly
1178,No,5/1/21,242207d46d,5107bd7599,dd189d,2483,18290,178257,6,08eb7fa253,N,e62e,b629fd,1e5b1c,22c0f0855a,b629,0,1,edce,2ed4,Level Term Assurance - Series 3,5615477,d4cd,b0a11d,5743,2000000,N,0,0,0ff4,1,1f,Married,Graduate,INDIA,a9,a9,aa,SCHOOL ASSISTANT,,Graduate,N,TELGU,1200000,N,Service,Yearly
1179,No,5/1/21,3756ba83ff,853b681058,abab0e,58,26000.16,862559,12,25abfd249c,N,331f,aedf2f,7e495a,06bf01c461,c586,0,1,edce,2ed4,Series 3,94773837,124d,2a5e2e,66c3,200000,N,0,0,f6f8,0,3d,Married,Graduate,INDIA,a9,a9,aa,QUALITY OFFICER,,Graduate,N,HINDI,350000,N,Service,Quarterly
1180,No,4/1/21,bc3e8d97eb,9018d2f876,85e1bf,58,150000,817591,11,a9ff58f297,N,e62e,aedf2f,9ec982,a4e01b4f37,c586,0,1,edce,c4e8,Series 3,5033050,d4cd,b7e9a7,c4e8,1500000,Y,0,0,d2a9,0,c7,Married,,INDIA,a9,a9,aa,SELF-EMPLOYED,,Post Graduate/Professional,N,ENGLISH,600000,N,Self-Employed,Yearly
1181,No,5/1/21,dcb231d32d,e82a5fd78d,a82c28,2483,50000,253578,12,dcaea91760,N,e62e,f114ce,4d2b63,a8c4325d55,eca2,0,1,a48c,c4e8,Series 2,9550348,d4cd,9dc9f7,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,HINDI,356000,N,Agriculturist,Yearly
1182,No,5/1/21,ef68dfb3bf,0b85f4ff59,22d6e8,58,110680.52,279492,15,c7d939e08d,N,e62e,f114ce,5f8edf,01496d4e2c,eca2,0,1,edce,2ed4,Series 3,5007008,d4cd,f7f79e,66c3,500000,N,0,0,a7d8,1,1f,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,HINDI,540000,N,Retired,Yearly
1183,No,25/1/21,6c4b2cdd38,f9661e237c,4fcfa5,2483,25000,809776,14,7e3209aa15,N,e62e,acb844,440c44,9728ca7261,c586,0,1,edce,c4e8,Series 3,9745965,d4cd,315d9d,c4e8,250000,N,0,0,d2a9,0,c7,Married,Graduate,INDIA,a9,a9,aa,HARWARE BUSSINESS,,Graduate,N,HINDI,500000,N,Business,Yearly
1184,No,8/1/21,e6028a7215,4eaf3d5f22,b94056,2483,52147.44,729251,15,38a77abb89,N,,b78361,7e495a,41ebe0923c,f7b0,0,1,edce,2ed4,Series 3,5673198,37bf,8bef14,803,155000,N,0,0,56ca,0,12,Single,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURAL PRODUCT RELATED B,,HSC,N,HINDI,420000,N,Business,Monthly
1185,No,18/1/21,9fbcad0f8e,21fb485480,f33d91,58,50000,865559,12,8a5065d280,N,e62e,aedf2f,d526f7,da593c3b56,c586,0,1,edce,c4e8,Series 2,9743402,d4cd,2a5e2e,c4e8,500000,N,0,0,efc5,0,3d,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,ENGLISH,420000,N,Housewife,Yearly
1186,No,22/1/21,87c45b5367,26ec4655de,86c8be,58,600000,175595,17,b7642a0dc8,N,331f,b629fd,7e495a,364fd99a28,b629,0,1,5fd3,c4e8,Series 2,5065973,bf55,bf6634,c4e8,6000000,Y,0,0,8625,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,JOINT DIRECTOR OF FISHARIES,,Post Graduate,N,TELGU,1440000,N,Service,Half yearly
1187,No,4/1/21,54b97f286f,2fdf6f7f1b,495954,2483,6635.6,172228,20,4ae08a45ff,N,331f,b629fd,7e495a,ce219ad1e4,b629,0,1,edce,803,Series 3,5614598,124d,4f2376,803,100000,N,0,0,5876,,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,ASHA WORKER,,HSC,N,TELGU,180000,N,Service,Quarterly
1188,No,21/1/21,edbad737f9,81e3f3ce3e,7ac09e,58,102250,754977,25,0bd6b0deab,N,e62e,b78361,d55046,8643c867fc,f7b0,0,1,edce,2ed4,Series 1,5641354,d4cd,8a5830,803,796000,Y,0,0,671a,0,fc,Married,Graduate,INDIA,a9,a9,aa,ASSISTANT TEACHER,,Graduate,N,HINDI,696000,N,Service,Yearly
1189,No,6/1/21,181adbd0e3,34d076fbb0,dbc0e5,2483,100000,196257,21,93a40c82a9,N,331f,b629fd,7e495a,7152f5c9fb,b629,0,1,edce,c4e8,Series 3,5357975,d4cd,ea0a21,c4e8,1000000,Y,0,0,d2a9,0,c7,Married,,NRI,a9,a9,aa,SOFTWARE ENGINEER,,Post Graduate/Professional,N,ENGLISH,2400000,N,Service,Yearly
1190,No,14/1/21,6ae83c3871,734a037d81,47623b,58,40000,753559,12,932ce086c0,N,e62e,b78361,09422d,990c3e494e,f7b0,1,1,edce,c4e8,Series 2,9998727,,82a624,c4e8,400000,N,0,0,efc5,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,MANAGER,,Post Graduate,N,HINDI,420000,N,Service,Individual
1191,No,7/1/21,20b6c02767,3640a58f8e,701784,58,150000,756599,10,5f517b9bf8,N,e62e,b78361,3b2ec8,81620df450,f7b0,0,1,edce,c4e8,Series 2,9598749,d4cd,800dc7,c4e8,0,Y,0,0,2734,0,55,Single,,INDIA,a9,a9,9c,RETIRED,,Post Graduate/Professional,N,ENGLISH,360000,N,Retired,Yearly
1192,No,22/1/21,83acbd3d24,468a5dabc8,324b21,2483,12615.6,122721,15,a0b39ba73e,N,331f,b629fd,7e495a,09ec68a611,b629,0,1,edce,2ed4,Endowment Plan - Series 4,9742463,37bf,7b329f,803,160000,N,0,0,1bb6,1,3d,Married,School (upto 10th),INDIA,a9,a9,aa,FANCY,,SSC,N,TELGU,300000,N,Business,Monthly
1193,No,18/1/21,0a5147356c,05b569a7b7,a58a1f,58,102250,619797,15,c289dc767f,N,e62e,a82c2d,e1a6a7,7366485713,f7b0,0,1,edce,2ed4,Series 3,5105356,d4cd,8a5830,803,840000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,SIPAHI,,Graduate,N,HINDI,600000,Y,Army,Yearly
1194,No,30/1/21,b3f278c785,fe27abb4da,c8c19b,2483,22571.64,208445,41,7d174a7c59,N,331f,766048,7e495a,e934b799bb,047e,0,1,edce,2ed4,Level Term Assurance - Series 6,5630565,d4cd,5f93b1,5743,5000000,N,0,0,8fe6,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,JALARAM KIRANA STORE,,Post Graduate,N,GUJARATI,495000,Y,Business,Yearly
1195,No,29/1/21,d0aebd2cba,fe2524df30,ff304c,2483,106526.92,734757,15,52556c7ff6,N,e62e,,0d8216,345fede799,f7b0,0,1,edce,2ed4,Series 3,9703138,d4cd,3103b7,66c3,510000,N,0,0,a7d8,1,fc,Married,Graduate,INDIA,a9,a9,aa,BUSINESS MAM,,Graduate,N,HINDI,768000,N,Business,Yearly
1196,No,8/1/21,7ec5b9cabb,2c8390f63a,3fc0a0,58,9468.36,287452,10,a4194390c9,N,e62e,f114ce,f85140,2d1ea6b2aa,eca2,0,1,edce,2ed4,Series 2,9292113,d4cd,9709ef,5743,500000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,GOVT HOSPITAL,,Graduate,N,HINDI,480000,N,Service,Yearly
1197,No,28/1/21,59541e6480,bf8a0a208f,2ea4bf,58,300000,127849,10,6e0a1df0eb,N,e62e,b629fd,e291e5,4f4a653e77,b629,0,1,edce,c4e8,Series 2,5392937,d4cd,40840d,c4e8,0,Y,0,0,2734,0,c7,Married,Graduate,INDIA,,a9,aa,OWNER,,Graduate,N,TELGU,900000,N,Business,Yearly
1198,No,10/1/21,f110f3d6f0,2b74355bff,4a81cd,58,13998.02,777752,10,ae6ec95e14,N,e62e,b78361,701a6b,7b32ce89f9,f7b0,0,1,a48c,2ed4,Series 2,5404720,d4cd,189fac,5743,500000,N,0,0,81db,0,1f,Married,Graduate,INDIA,,a9,aa,CLEARK,,Graduate,N,HINDI,540000,N,Service,Yearly
1199,No,5/1/21,3921999bb1,b47dc4faed,380b6f,58,200000,191995,10,c4c6d2cca3,N,e62e,b629fd,f5b574,7299037f31,b629,0,1,edce,c4e8,Series 2,9771034,d4cd,21afb2,c4e8,0,N,0,0,2734,0,fc,Married,PG / Professional,INDIA,a9,a9,aa,RETIRED,,Post Graduate,N,TELGU,600000,N,Retired,Yearly
1200,No,12/1/21,7076cef7f3,e2300acbaa,3fc0a0,58,55091.26,287554,5,ff9f8f3d0c,N,331f,f114ce,7e495a,77cee1a11d,eca2,0,1,edce,2ed4,Level Term Assurance - Series 6,5531327,d4cd,9709ef,5743,10000000,N,0,0,8fe6,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,MEDICAL SHOP,,Post Graduate,N,HINDI,600000,N,Profession,Yearly
1201,No,6/1/21,3df64d64cf,a39b37923a,2ea4bf,58,73822.46,127559,15,7cab26bc53,N,331f,b629fd,7e495a,b08d92f8ce,b629,0,1,edce,2ed4,Series 3,92522404,d4cd,40840d,66c3,350000,Y,0,0,a7d8,1,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,PROPRIETOR,,HSC,N,TELGU,600000,Y,Business,Yearly
1202,No,8/1/21,ed47f828d1,d7d312f3dc,4cea30,2483,16172.8,262215,20,3285995351,N,331f,766048,7e495a,e7b9a0e269,047e,0,1,edce,2ed4,Level Term Assurance - Series 6,5425497,bf55,53ae57,5743,2500000,N,0,0,8fe6,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,MADISIN,,Medicine,N,GUJARATI,696000,N,Service,Half yearly
1203,No,13/1/21,d591e23738,f4461286e6,4cea30,58,5000,262291,15,227ca0e109,N,331f,766048,7e495a,363568c25b,047e,0,1,edce,2ed4,Series 2,5823975,d4cd,53ae57,5743,200000,N,0,0,b68b,1,1f,Married,Graduate,INDIA,a9,a9,aa,,,Graduate,N,ENGLISH,600000,N,Profession,Yearly
1204,No,8/1/21,627875f095,7a9b13c49e,da9107,58,194275,774597,15,9afb3c4559,N,e62e,b78361,fac946,d3daeaaae7,f7b0,0,1,edce,2ed4,Series 3,9297839,d4cd,82a624,803,1596000,Y,0,0,56ca,0,46,Single,Graduate,INDIA,a9,a9,aa,PROPRIETOR,,Graduate,N,ENGLISH,1600000,N,Business,Yearly
1205,No,6/1/21,4cd8464537,6aaee97c7b,380b6f,58,10481.14,191859,10,c2f96f2a92,N,e62e,b629fd,e34346,deaed6e6a5,b629,0,1,edce,2ed4,Series 2,9914544,d4cd,bda6d4,5743,260000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,LINE OPERATOR,,Graduate,N,TELGU,300000,N,Service,Yearly
1206,No,5/1/21,1391200f5e,5b03f08585,3.85E+07,2483,50000,809889,12,770d61ff35,,e62e,acb844,deb630,5126c01862,c586,0,1,edce,c4e8,Series 2,9596206,d4cd,315d9d,c4e8,500000,N,0,0,efc5,0,fc,Married,Graduate,INDIA,a9,a9,aa,STUDENT,,Graduate,N,HINDI,300000,N,Student,Yearly
1207,No,12/1/21,1b530f151f,f446b1c008,c8c19b,58,300000,201550,10,1e0bc83ec9,N,e62e,766048,ea8899,992d4ec18a,047e,0,1,edce,c4e8,Series 2,5680659,d4cd,920b37,c4e8,0,Y,0,0,2734,0,1b,Married,Graduate,INDIA,,a9,9c,HOUSEWIFE,,Graduate,N,GUJARATI,750000,N,Housewife,Yearly
1208,No,10/1/21,aa554d47c9,436ff48a59,ea2314,2483,31346.98,799554,10,7a0cdf09f7,N,331f,b78361,7e495a,6fccba30f3,f7b0,0,1,edce,2ed4,Endowment Plan - Series 4,5739133,d4cd,79a06f,803,280000,N,0,0,1bb6,0,12,Single,Graduate,INDIA,a9,a9,aa,SELF-EMPLOYED,,Graduate,N,HINDI,240000,N,Self-Employed,Yearly
1209,No,21/1/21,d9ed2287e7,3db762e259,5b58d5,58,150000,248557,12,a97ac178e8,N,e62e,766048,ac6b0e,c067eff4fb,047e,0,1,edce,c4e8,Plan Gold Cover - Series 3,5004439,d4cd,81c842,c4e8,1500000,N,0,0,2a44,0,46,Single,Graduate,INDIA,a9,a9,aa,STUDENT,,Graduate,N,GUJARATI,650000,N,Student,Yearly
1210,No,13/1/21,f3c1e52a1b,4069e26ade,c268e0,58,50000,278550,12,ab0e9634c6,N,e62e,f114ce,d04a2c,c784bb4d2d,eca2,0,1,edce,c4e8,Series 2,5188826,d4cd,9dc9f7,c4e8,500000,N,0,0,efc5,0,17,Single,Graduate,INDIA,a9,a9,9c,BEAUTICIAN HELPER,,Graduate,N,HINDI,696000,N,Business,Yearly
1211,No,4/1/21,dbea445905,197ffe02c7,4cea30,2483,153375,262215,,83642c0d52,N,331f,766048,7e495a,e7b9a0e269,047e,0,1,edce,2ed4,Series 1,5425497,d4cd,53ae57,803,1197000,N,0,0,671a,0,12,Single,Graduate,INDIA,a9,a9,aa,ASS.TEACHER,,Graduate,N,GUJARATI,360000,Y,Service,Yearly
1212,No,6/1/21,441d7cad72,b009e4e19e,88cae7,2483,51125,808778,12,30668bc18d,N,e62e,acb844,707432,0b5fabc2c0,c586,0,1,edce,2ed4,,5044568,d4cd,4a3ec2,803,315000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,HINDI,420000,Y,Service,Yearly
1213,No,8/1/21,45d1d7ee34,cc9907578f,f40ba8,2483,60000,155568,17,a0788f1c38,N,331f,e2d2a5,7e495a,88a705954d,b629,0,1,edce,c4e8,Series 3,92091346,d4cd,a4bbee,c4e8,600000,N,0,0,d2a9,0,c7,Married,Graduate,INDIA,a9,a9,9c,OWNER,,Graduate,N,TELGU,400000,N,Service,Yearly
1214,No,5/1/21,91d81be6d2,a4e8c4e3a1,4b96d7,58,50000,204902,12,ccd79e0ab2,N,e62e,5f9422,6c6965,eeff912ad2,047e,0,1,edce,c4e8,Series 2,9522222,d4cd,54ccbf,c4e8,500000,N,0,0,efc5,0,fc,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,HINDI,600000,N,Business,Yearly
1215,No,4/1/21,7c423262c6,892c994dd0,75fc4a,58,100000,855507,12,4eefeff981,N,331f,c0a4a4,7e495a,b847b170d0,0ff1,0,1,edce,c4e8,Series 2,94823720,d4cd,bd4cbf,c4e8,1000000,N,0,0,efc5,0,fc,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,MARATHI,1500000,N,Housewife,Yearly
1216,No,14/1/21,965dfa3f41,4a91094b15,810f4d,2483,51125,739759,12,36b7ee1243,N,e62e,b78361,ed6006,87083eb527,f7b0,0,1,edce,2ed4,Series 3,9912405,d4cd,189fac,803,315000,N,0,0,56ca,0,1f,Married,,INDIA,a9,a9,aa,OWNER,,10th Pass/SSC,N,HINDI,800000,N,Business,Yearly
1217,No,5/1/21,11aa406de7,4505f0c268,22d6e8,58,97628.43,277789,15,77cb146dc2,N,e62e,f114ce,670be5,ef27b8f9c6,eca2,0,1,edce,2ed4,Series 3,5669507,d4cd,9dc9f7,,437000,N,0,0,a7d8,1,1f,Married,Graduate,INDIA,a9,a9,aa,RETIRED FROM ENGINEERING SUPER,,Graduate,N,HINDI,420000,N,Retired,Yearly
1218,No,20/1/21,b3aef3bf70,035834637f,5e9ab8,2483,50000,737971,12,80c5d190b7,N,e62e,b78361,065b6e,89f674eb5f,f7b0,0,1,edce,c4e8,Series 2,9929021,d4cd,aebe24,c4e8,500000,N,0,0,efc5,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,9c,,,HSC,N,HINDI,300000,N,Housewife,Yearly
1219,No,4/2/21,e4f276d817,fadcda432a,ad588e,58,150000,228452,12,4f9b329c8b,N,e62e,f114ce,8dcc2e,b789879b43,eca2,0,1,edce,,,9754211,d4cd,f7f79e,c4e8,1500000,N,0,0,2a44,0,1f,Married,Graduate,INDIA,a9,a9,aa,BUSINESS,,Graduate,N,HINDI,600000,N,Business,Yearly
1220,No,20/1/21,7c3cafb04f,2c200aa944,4b96d7,58,99900,204725,12,af0a7fb445,N,e62e,5f9422,acf2e8,4ca9e81443,047e,0,1,a48c,c4e8,Series 2,9522222,d4cd,54ccbf,c4e8,999000,N,0,0,efc5,0,3d,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,400000,N,Housewife,Yearly
1221,No,5/1/21,8946054401,b49dc23eaa,1.12E+32,58,400000,807595,10,59466cee6a,N,e62e,acb844,a09045,bd5dfc4619,c586,0,1,edce,c4e8,Plan Gold Cover - Series 3,9920601,d4cd,4a3ec2,c4e8,4000000,Y,0,0,2a44,1,c7,Married,Graduate,INDIA,a9,a9,9c,MANAGING DIRECTOR,,Graduate,N,ENGLISH,960000,N,Service,Yearly
1222,No,8/1/21,4d146342ff,a06800c7c1,3fc0a0,2483,5000,287250,10,7263ae5c43,N,e62e,f114ce,5.37E+33,d4ce290ee8,eca2,0,1,a48c,2ed4,Series 2,9916124,d4cd,9709ef,5743,400000,N,0,0,b68b,0,12,Single,Intermediate (10+2),INDIA,a9,a9,aa,,,HSC,N,HINDI,250000,N,Agriculturist,Yearly
1223,No,30/1/21,e4469d8881,7b0a3ad625,972b01,58,20114.88,125599,39,960ecfb45b,N,331f,b629fd,7e495a,249bdbac6d,b629,0,1,edce,2ed4,Level Term Assurance - Series 6,5672950,d4cd,a8ff6d,5743,5000000,N,0,0,8fe6,1,1b,Married,Graduate,INDIA,a9,a9,9c,STAFF NURSE,,Graduate,N,TELGU,1000000,N,Service,Yearly
1224,No,18/1/21,4e32d104a0,64478f7392,ea2314,2483,24993.18,779152,12,9483a3ff90,N,e62e,b78361,08e882,d45820d25d,f7b0,0,1,edce,803,Series 3,5404772,d4cd,79a06f,803,160000,N,0,0,5876,0,1f,Married,Graduate,INDIA,a9,a9,aa,HELPER,,Graduate,N,HINDI,360000,N,Service,Yearly
1225,No,27/1/21,b600c04ccf,813cbcc0ec,95c77f,2483,50000,770754,12,072bc75a43,N,331f,b78361,7e495a,b8844c72e2,f7b0,0,1,edce,c4e8,Series 2,5038398,d4cd,6d2953,c4e8,500000,N,0,0,efc5,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,SHOP OWNER,2,SSC,N,ENGLISH,264000,N,Business,Yearly
1226,No,5/1/21,2a4d505cad,0abcdfe974,abab0e,58,5000,867559,10,a3aa3259ff,N,331f,aedf2f,7e495a,f347dbfd56,c586,0,1,edce,2ed4,Series 2,5226951,,2a5e2e,5743,325000,N,0,0,b68b,1,46,Married,Graduate,INDIA,a9,a9,aa,SHPOE KEEPAR,,Graduate,N,ENGLISH,360000,N,Business,Individual
1227,No,6/1/21,933f6fa0bd,46669ad01e,1b34ba,58,30000,252252,12,63e27e4b28,N,e62e,f114ce,4a4470,ddc2924019,eca2,0,1,edce,c4e8,Series 2,5065524,d4cd,f7f79e,c4e8,300000,N,0,0,efc5,0,46,Single,Graduate,INDIA,a9,a9,aa,STUDENT,,Graduate,N,ENGLISH,240000,N,Student,Yearly
1228,No,19/1/21,f6f9497501,7641d5a7a6,2f8b93,58,28701.58,855359,10,05e0fcbc02,N,e62e,c0a4a4,3c3a10,2bd571ada6,0ff1,0,1,edce,2ed4,Series 2,9295742,d4cd,666be9,5743,500000,N,0,0,81db,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,FACILITY STAFF,,HSC,N,ENGLISH,300000,N,Service,Yearly
1229,No,5/1/21,97d586e8fe,71a262520d,ce62bd,58,31367.36,289579,46,19663ce47a,N,331f,f114ce,7e495a,7eae3b52f2,eca2,0,1,edce,2ed4,Level Term Assurance - Series 6,9768828,d4cd,17edbd,5743,10000000,N,0,0,8fe6,1,1f,Married,Graduate,INDIA,a9,a9,aa,HOSPITAL NURSE,,Graduate,N,HINDI,600000,N,Service,Yearly
1230,No,4/1/21,9e1e1756dc,5bf537f532,246d32,2483,100000,818779,14,d7a6329c4c,N,e62e,aedf2f,ac2482,884cbde2b1,c586,0,1,edce,c4e8,Series 3,5649513,d4cd,4a3ec2,c4e8,1000000,Y,0,0,d2a9,0,3d,Married,Graduate,INDIA,a9,a9,aa,OFFICER,,Graduate,N,HINDI,700000,Y,Service,Yearly
1231,No,11/1/21,d59b88d38a,333e6a1ef9,f719ce,2483,99000,788559,12,312c26d805,N,e62e,b78361,4f3950,9322f81e29,f7b0,0,1,edce,c4e8,Series 2,5320925,d4cd,ecb8c7,c4e8,990000,N,,0,efc5,1,46,Single,Graduate,INDIA,a9,a9,aa,SHOP OWNER,,Graduate,N,HINDI,936000,N,Business,Yearly
1232,No,29/1/21,e23f18d145,52b2780bc6,c0ee6d,2483,50000,242435,10,9415f9d31a,N,e62e,766048,630c0e,eba47b9654,047e,0,1,edce,c4e8,Series 2,9978490,d4cd,41efd3,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,GUJARATI,360000,N,Agriculturist,Yearly
1233,No,28/1/21,896deb6c6f,840a2a17d8,3fc0a0,58,30000,287559,10,f4dadd48e1,N,331f,f114ce,7e495a,381a39638d,eca2,0,1,edce,c4e8,Plan T - Series 2,9503905,d4cd,9709ef,c4e8,300000,N,0,0,e548,1,1b,Married,School (upto 10th),INDIA,a9,a9,9c,SELF-EMPLOYED,,SSC,N,ENGLISH,240000,N,Self-Employed,Yearly
1234,No,15/1/21,aee8a5d836,734e0b9393,4ca870,58,51125,835432,12,91f1e86fc7,N,e62e,aedf2f,70dd80,3e57b27d69,c586,0,1,edce,2ed4,Series 3,9778607,d4cd,ac716a,803,315000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,GOVERNMENT TEACHER,,Graduate,N,HINDI,420000,N,Service,Yearly
1235,No,4/1/21,2846005230,10d9368599,1b34ba,58,30000,252252,12,0cbb379d24,N,e62e,f114ce,4a4470,ddc2924019,eca2,0,1,edce,c4e8,Series 2,5065524,d4cd,f7f79e,c4e8,300000,N,0,0,efc5,0,,Married,Intermediate (10+2),INDIA,a9,46,aa,SELF-EMPLOYED,,HSC,N,ENGLISH,320000,N,Self-Employed,Yearly
1236,No,14/1/21,d240904846,9162f83e14,aa240e,58,100000,299759,12,c47420d642,N,e62e,f114ce,5682ef,ad8e67d5f9,eca2,0,1,edce,c4e8,Series 2,5443359,d4cd,9dc9f7,c4e8,1000000,N,,0,efc5,0,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,HOUSEWIFE,,HSC,N,HINDI,480000,N,Housewife,Yearly
1237,No,6/1/21,2276bb3f5a,34d076fbb0,dbc0e5,2483,100000,196257,21,d8644c345b,N,331f,,7e495a,7152f5c9fb,b629,0,1,edce,c4e8,Series 3,5357975,d4cd,ea0a21,c4e8,1000000,Y,0,0,d2a9,0,3d,Married,,NRI,a9,a9,aa,SOFTWARE ENGINEER,,Post Graduate/Professional,N,ENGLISH,2400000,N,Service,Yearly
1238,No,28/1/21,e5289a01a4,6d3c5897db,d96a8f,2483,50000,177852,14,ba44be3043,N,e62e,,8749ba,b856de8f6c,b629,0,1,edce,c4e8,Series 3,5668722,d4cd,bda6d4,c4e8,500000,N,0,0,d2a9,1,3d,Married,Graduate,INDIA,a9,a9,9c,GOOD WILL PRINTERS,,Graduate,N,TELGU,500000,N,Business,Yearly
1239,No,11/1/21,c1c2ae0323,f1c481bc32,4b96d7,58,200000,204725,,7b17b30a24,N,e62e,5f9422,acf2e8,4ca9e81443,047e,0,1,edce,c4e8,Plan Gold Cover - Series 3,9522222,d4cd,54ccbf,c4e8,2000000,N,0,0,2a44,0,46,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,HINDI,600000,N,Business,Yearly
1240,No,8/1/21,39444a7909,a7152c9724,add6a8,2483,14438.97,864229,10,198a1e68c7,N,e62e,aedf2f,4386bf,3395e571b3,c586,0,1,edce,2ed4,Endowment Plan - Series 4,9557872,d4cd,0ad84d,803,125000,N,0,0,1bb6,0,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,AGRICULTURIST,,HSC,N,HINDI,300000,N,Agriculturist,Yearly
